,Symbol,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d
64,RUNE,2065274200.0,8.0,258210200.0,163181250.0,-0.0046,-0.2504,-0.3291
65,KDA,2044677800.0,12.72,160800560.0,95385630.0,0.024300002,-0.2152,-0.27969998
66,NEO,1989704800.0,28.21,70538830.0,422300770.0,0.0123000005,-0.2575,-0.266
67,QNT,1978713200.0,163.9,12072738.0,85582940.0,-0.0057,-0.16319999,-0.23719999
68,CHZ,1872833500.0,0.3146,5952921000.0,648531200.0,0.0,-0.2591,-0.3116
69,WAVES,1834163200.0,17.16,106866850.0,184079950.0,0.010299999,-0.19489999,-0.1384
70,KCS,1753110100.0,21.88,80118640.0,88707980.0,-0.0026,-0.1598,-0.0775
71,BAT,1550773800.0,1.04,1492976100.0,597346750.0,-0.0016,-0.25620002,-0.3713
72,AR,1538050600.0,46.06,33394700.0,100867110.0,-0.0021,-0.2039,-0.239
73,HOT,1540527900.0,0.008903,173037110000.0,291572380.0,-0.0008,-0.2471,-0.2868
74,CRV,1535534300.0,3.53,435179400.0,753125800.0,0.0039,-0.2377,-0.29770002
75,OKB,1421736800.0,23.7,60000000.0,909537800.0,-0.0041,-0.1729,0.0073
76,DASH,1412312700.0,134.97,10463566.0,505782240.0,0.0015,-0.2504,-0.2777
77,CELO,1393061400.0,3.79,367204480.0,112888120.0,-0.0036000002,-0.2555,-0.2321
78,HT,1373316000.0,8.62,159308560.0,192972880.0,-0.0043,-0.1189,-0.113199994
79,COMP,1352284200.0,218.26,6195782.0,213417220.0,0.0086,-0.204,-0.2021
80,TFUEL,1333501700.0,0.2515,5301214000.0,147344500.0,-0.0108,-0.2077,-0.1891
81,NEXO,1261781000.0,2.25,560000000.0,21275524.0,-0.004,-0.2036,-0.1019
82,TUSD,1247256400.0,0.9986,1249019800.0,244602290.0,-1e-04,-0.0017,-0.0019
83,DCR,1200164500.0,88.53,13556163.0,13821009.0,-0.0004,-0.1881,-0.1084
84,XEM,1156054500.0,0.1285,9000000000.0,138771760.0,-0.0046,-0.2485,-0.22600001
85,MINA,1144996900.0,3.68,311371840.0,95228530.0,-0.0004,-0.1699,-0.25959998
86,IOTX,1138684200.0,0.1193,9540779000.0,121529930.0,0.0054,-0.2376,-0.26639998
87,VGX,1088346200.0,3.91,278482200.0,29925212.0,0.0147,-0.1337,-0.012999999
88,QTUM,1050009700.0,10.62,98911820.0,619398200.0,-0.0034,-0.2852,-0.282
89,1INCH,1008667900.0,2.52,400284400.0,396393200.0,0.0043,-0.2785,-0.33020002
90,IMX,970105860.0,5.16,188160770.0,104998710.0,-0.0381,-0.2538,-0.35919997
91,USDP,944191170.0,0.9985,945642940.0,29043878.0,-0.00090000004,-0.00090000004,-0.0017
92,ROSE,922653950.0,0.2641,3493014300.0,200295820.0,0.0161,-0.2143,-0.17909999
93,XDC,914710800.0,0.07434,12305013000.0,10800032.0,-0.007900001,-0.176,-0.21139999
94,AUDIO,909285950.0,1.78,509912300.0,66680860.0,0.0037,-0.2306,-0.2892
95,CEL,894498200.0,3.74,238863520.0,13465766.0,-0.0037,-0.0619,-0.0571
96,ZEN,894310100.0,75.74,11808069.0,153089680.0,-0.0069999998,-0.2683,-0.3156
97,RVN,887890100.0,0.08681,10227420000.0,132114216.0,0.0188,-0.2299,-0.2083
98,OMG,864386240.0,6.16,140245390.0,1023824450.0,0.0036000002,-0.25120002,-0.246
99,REV,864317000.0,0.01016,85061485000.0,2265190.0,-0.0023999999,-0.0785,-0.1491
100,WAXP,863127500.0,0.4649,1856595300.0,149001620.0,0.0101,-0.2576,-0.33020002
101,ANKR,855994560.0,0.1049,8162899500.0,283627620.0,0.005,-0.2651,-0.41759998
102,YFI,853475500.0,23294.99,36638.0,280459900.0,0.002,-0.2061,-0.213
103,ICX,845125900.0,1.25,677302800.0,144166800.0,0.0055,-0.2883,-0.3078
104,NFT,836238340.0,3.018e-06,277080570000000.0,309217540.0,-0.0044,-0.2315,-0.28190002
105,SC,820327940.0,0.01659,49460425000.0,166720860.0,0.0032,-0.2864,-0.374
106,ZIL,819211600.0,0.06778,12086207000.0,168154480.0,0.0029,-0.23889999,-0.2016
107,LPT,809631400.0,38.25,21164656.0,88887220.0,0.0036000002,-0.283,-0.4075
108,BNT,786692860.0,3.34,235284530.0,102441540.0,-0.0066000004,-0.18280001,-0.1557
109,BORA,761732160.0,0.8844,861250000.0,352038460.0,-0.0044,-0.2173,-0.3043
110,PERP,753497000.0,10.97,68700000.0,44209530.0,-0.0086,-0.16219999,-0.095699996
111,BTG,734083260.0,41.91,17513924.0,31386532.0,0.0047999998,-0.2409,-0.2399
112,ZRX,725844860.0,0.8585,845496060.0,128730360.0,-0.0011,-0.23200001,-0.2868
113,RENBTC,724075460.0,47038.8,15393.0,36250140.0,-0.0058999998,-0.16690001,-0.1355
114,SUSHI,720715700.0,5.66,127244440.0,564399600.0,-0.0114,-0.2358,-0.22569999
115,RAY,700612000.0,9.08,77181600.0,199630940.0,0.0082,-0.1927,-0.082200006
116,SCRT,699983500.0,4.67,149815730.0,15972332.0,-0.0088,-0.2354,-0.2718
117,REN,699743100.0,0.7013,997764030.0,112119320.0,-0.0038,-0.2244,-0.2709
118,ELON,693087100.0,1.251e-06,554146140000000.0,47807664.0,-0.0028,-0.16620001,-0.0498
119,CKB,691466000.0,0.02395,28873873000.0,52084224.0,0.0154,-0.21120001,-0.2387
120,HIVE,689940000.0,1.82,378614600.0,511169120.0,0.0042,-0.1714,-0.21260001
121,VLX,673773760.0,0.3172,2124380700.0,11956031.0,-0.0007,-0.13270001,-0.2006
122,SNX,666616400.0,5.8,114841540.0,173570610.0,-0.0082,-0.24450001,-0.2578
123,UMA,663999300.0,10.29,64513948.0,65549736.0,-0.024600001,-0.19639999,-0.23120001
124,TEL,659701400.0,0.01147,57502110000.0,18399616.0,-0.0011999999,-0.1778,-0.2206
125,ONT,645670900.0,0.7377,875249540.0,362416860.0,0.0014,-0.31530002,-0.3028
126,CHSB,641823200.0,0.6418,1000000000.0,4821382.0,0.0056,-0.1568,-0.055999998
127,SKL,618896200.0,0.2343,2641203200.0,120110000.0,0.0127,-0.3018,-0.3561
128,DYDX,615120800.0,9.38,65569296.0,491332740.0,-0.0004,-0.3027,-0.2929
129,GNO,592752000.0,393.96,1504587.0,10438033.0,-0.013300001,-0.1712,-0.0365
130,OCEAN,589823900.0,0.962,613099140.0,212718290.0,0.0053,-0.2785,-0.1873
131,STORJ,587530430.0,1.67,351532260.0,223952580.0,0.0115,-0.2856,-0.45049998
132,MOVR,582150800.0,235.54,2471603.0,46325508.0,-0.0186,-0.2068,-0.2935
133,SRM,556752100.0,4.18,133231784.0,187083020.0,-0.0008,-0.2482,-0.2051
134,IOST,554736700.0,0.03065,18099720000.0,298528670.0,-0.0043,-0.2382,-0.2001
135,DGB,553419900.0,0.03715,14896535000.0,57944904.0,0.0056,-0.2711,-0.213
136,KAVA,552423200.0,3.87,142804640.0,97925630.0,0.0052,-0.2469,-0.2385
137,USDN,550923400.0,0.9828,560546750.0,32395162.0,0.0018000001,-0.0034,-0.0082
138,XNO,551634300.0,4.14,133248296.0,35646910.0,0.0002,-0.16690001,-0.1768
139,WIN,536091070.0,0.0005574,961737300000.0,434155800.0,-0.0031,-0.19370002,-0.20809999
140,NU,534353060.0,0.7686,695250000.0,248236020.0,-0.0073,-0.1475,-0.22760001
141,XYO,530567000.0,0.04131,12844822000.0,28413572.0,0.0177,-0.17729999,-0.2065
142,POLY,495620350.0,0.5516,898550850.0,56595750.0,0.008,-0.2464,-0.3664
143,REQ,494785800.0,0.4948,999877100.0,126423340.0,0.0064999997,-0.1472,-0.3082
144,GT,484089630.0,6.22,77808000.0,16767260.0,0.0177,-0.1224,-0.014099999
145,XDB,483638200.0,0.553,874608060.0,4302320.0,0.0235,-0.1778,-0.17989999
146,CSPR,478805860.0,0.1734,2761447700.0,117750770.0,-0.0047,-0.1692,-0.0762
147,GLM,479778300.0,0.4798,1000000000.0,37374050.0,-0.0139,-0.2736,-0.3771
148,TRAC,479226430.0,1.32,363853920.0,13950866.0,-0.0309,-0.1973,-0.16610001
149,FET,477761340.0,0.6403,746113660.0,113916730.0,-0.0011,-0.1735,-0.1974
150,CELR,465770100.0,0.07665,6076712000.0,182647840.0,-0.01,-0.3003,-0.3371
151,CEEK,462831870.0,0.6257,739647740.0,49506616.0,0.0029,-0.2723,-0.29930001
152,WOO,461088770.0,0.8047,573021950.0,44154624.0,-0.0186,-0.2202,-0.16780001
153,RSR,456131300.0,0.03466,13159997000.0,192744320.0,-0.0013,-0.2958,-0.0162
154,INJ,455873950.0,10.44,43655550.0,48066296.0,-0.0045,-0.19450001,-0.192
155,ALICE,441230620.0,14.42,30600000.0,446043870.0,0.0008,-0.31260002,-0.28
156,JST,440676960.0,0.06036,7300425000.0,449914900.0,0.0014,-0.2059,-0.1908
157,FEI,423569470.0,0.9966,424996200.0,288438240.0,0.0,-0.00029999999,-0.0016
158,MDX,420562700.0,0.5301,793390100.0,36569656.0,0.0089,-0.2606,-0.21450001
159,UOS,394729470.0,1.4,282785200.0,23364586.0,-0.0063,-0.22459999,-0.3966
160,CTSI,390280200.0,0.8016,486906020.0,158820700.0,0.0022,-0.2768,-0.23120001
161,SYS,386978560.0,0.6206,623598500.0,37763736.0,-0.0216,-0.2164,0.0494
162,DENT,385106530.0,0.00389,99007790000.0,160755620.0,0.0054,-0.24299999,-0.23040001
163,WRX,377854050.0,1.16,325056860.0,183327120.0,0.005,-0.1943,-0.0346
164,LSK,357987230.0,2.78,128900450.0,27905656.0,0.0023,-0.2194,-0.2877
165,EWT,355295330.0,11.82,30062138.0,18203778.0,-0.0049,-0.2014,0.2236
166,CHR,351726600.0,0.6199,567369400.0,213383400.0,-0.0058999998,-0.3038,-0.3946
167,FX,346841400.0,0.849,408520350.0,7088112.0,-0.0023,-0.2037,-0.1029
168,ALPHA,344179680.0,0.7711,446330100.0,89503420.0,0.0047999998,-0.2078,-0.1878
169,PAXG,319765000.0,1784.99,179141.0,55093264.0,0.0011,0.0049,-0.006
170,HUSD,316446240.0,0.9984,316946000.0,267895890.0,-0.0005,-0.0026,-0.0022
171,FLUX,312645820.0,1.42,220737180.0,13969794.0,0.0054,-0.216,-0.266
172,UBT,312983650.0,2.09,150000000.0,4876819.0,0.0058999998,-0.17799999,0.1378
173,SXP,310489800.0,1.61,192768780.0,292900740.0,-0.0032,-0.3109,-0.3084
174,VTHO,305329400.0,0.007108,42953790000.0,42649296.0,0.026600001,-0.1514,-0.1683
175,XVG,302450560.0,0.01834,16487887000.0,27973454.0,-0.004,-0.2656,-0.246
176,DVI,302621950.0,1.08,279496300.0,16124927.0,0.0028,-0.2782,-0.4026
177,MED,298051680.0,0.05538,5382401000.0,53963932.0,-0.0143,-0.2914,-0.3362
178,COTI,297400770.0,0.3424,868672100.0,133739700.0,-0.0029,-0.2709,-0.14729999
179,REEF,296200580.0,0.01838,16112552000.0,85782300.0,-1e-04,-0.2566,-0.25190002
180,RLC,291148740.0,3.64,80070790.0,184549220.0,0.009,-0.3082,-0.1745
181,OGN,290389340.0,0.7473,388570720.0,112475900.0,-0.0089,-0.2858,-0.2947
182,DIVI,289551230.0,0.1102,2628063500.0,2102139.0,-0.0034,-0.26,0.3133
183,NKN,278748900.0,0.3982,700000000.0,56080456.0,1e-04,-0.2307,-0.30879998
184,OXT,275618140.0,0.399,690690100.0,69674210.0,-0.0026,-0.2327,-0.2485
185,BTCST,272386460.0,23.85,11421013.0,25195968.0,-0.0058,-0.23979999,-0.2533
186,BCD,269948220.0,1.45,186492900.0,6087692.0,-0.01,-0.1863,-0.1718
187,POLS,269641380.0,3.3,81701330.0,43242410.0,0.0111,-0.16290002,-0.1457
188,CFX,266664900.0,0.2312,1153469700.0,41250704.0,-0.005,-0.2769,-0.21129999
189,SUN,263748910.0,0.02508,10514908000.0,177291970.0,0.0045,-0.2038,-0.1597
190,ARDR,261449000.0,0.2617,998999500.0,24982720.0,-0.0053,-0.277,-0.2629
191,SNT,259306820.0,0.07472,3470483700.0,43433330.0,-0.0064,-0.241,-0.24530001
192,MX,250994540.0,2.51,100000000.0,53502396.0,0.0075,-0.2609,-0.1558
193,BAKE,249828160.0,1.29,193529490.0,108019540.0,0.0049,-0.2747,-0.2714
194,CVC,247452700.0,0.3693,670000000.0,126172120.0,-0.0018000001,-0.29209998,-0.3766
195,SOUL,246175020.0,2.39,103033490.0,16097349.0,0.0085,-0.3014,-0.1973
196,STMX,238046050.0,0.0238,10000000000.0,57348356.0,-0.0027,-0.2913,-0.2588
197,MCO,237479280.0,15.04,15793831.0,1004149.0,0.0034999999,-0.1895,-0.0271
198,ONG,227561810.0,0.8522,267036600.0,24179096.0,-0.0046,-0.2535,-0.2455
199,AMPL,219910560.0,0.8819,249347740.0,14310476.0,0.0023,-0.3181,-0.21959999
200,HEX,29047804000.0,0.1675,173411070000.0,15941350.0,0.0126,-0.0881,-0.113000005
201,STETH,5986525000.0,3908.56,1531643.0,9298991.0,-0.00090000004,-0.1507,-0.048600003
202,WBNB,3020211700.0,545.15,5540158.0,2221290000.0,-0.0004,-0.131,-0.104899995
203,HBTC,1875509800.0,47024.02,39884.0,27265396.0,-0.0076,-0.18110001,-0.1439
204,YOUC,1673684900.0,0.2455,6816934400.0,583397.0,-0.0018000001,-0.0521,0.2317
205,XYM,1517738900.0,0.2719,5582460000.0,18169032.0,0.025,-0.1784,-0.2459
206,LN,1323419300.0,221.46,5975799.0,19527184.0,0.0234,-0.21069999,-0.1505
207,DFI,1268698100.0,4.22,300511840.0,15813295.0,0.0014,-0.1145,0.45119998
208,FRAX,1260709100.0,1.0,1259074700.0,50293950.0,-0.00090000004,0.00090000004,0.0022
209,WEMIX,1257214000.0,10.2,123233680.0,258879340.0,-0.0653,-0.2058,-0.33740002
210,SAFEMOON,1210753500.0,2.068e-06,585536400000000.0,8379138.0,0.0057,-0.1279,-0.343
211,CTC,1145954700.0,2.03,564970560.0,2975892.0,0.0002,-0.18059999,-0.112399995
212,BIT,1069004200.0,1.82,586278900.0,140637570.0,-0.0032,-0.2082,-0.22530001
213,SOLO,1014657000.0,5.07,200001810.0,6080289.0,0.0106,-0.1912,0.4672
214,vBNB,976133570.0,11.58,84327096.0,,0.0016,-0.1247,-0.1066
215,ENS,926508860.0,45.77,20244862.0,320370600.0,-0.0112,-0.2343,-0.42159998
216,RLY,924813400.0,0.4408,2098052600.0,13350073.0,-0.0034,-0.1522,-0.1345
217,CCXX,915118460.0,51.24,17861152.0,1767039.0,-0.0007,-0.0696,-0.0402
218,MOB,894990300.0,12.06,74218320.0,7196739.0,-0.0061000003,-0.175,-0.1703
219,NXM,865854800.0,130.98,6610386.0,20207.0,0.00029999999,-0.1478,-0.0511
220,ILV,839471600.0,1305.92,642819.0,132330050.0,-0.0066000004,-0.2165,-0.1603
221,OMI,833086600.0,0.00501,166285820000.0,16456835.0,0.0188,-0.2403,-0.13319999
222,RACA,829777860.0,0.004563,181850770000.0,212492580.0,0.0148,-0.1354,-0.18049999
223,RNDR,828807550.0,4.53,183095940.0,80850510.0,0.0176,-0.207,-0.37240002
224,CVX,771177900.0,19.51,39534624.0,22997084.0,-0.013099999,-0.2339,-0.22670001
225,LUSD,717701760.0,0.9976,719446100.0,43191590.0,-0.0011,-0.0034999999,-0.0029
226,BLOK,711865540.0,0.08537,8338704400.0,81066440.0,-0.047199998,-0.2491,-0.3468
227,TTT,660213000.0,6.3,104789400.0,295870.0,0.0054,-0.1441,-0.2842
228,JASMY,626669000.0,0.1318,4754930700.0,110310270.0,0.0336,-0.229,-0.2609
229,XWC,625331700.0,0.8403,744201300.0,14865558.0,-0.003,-0.0682,-0.0654
230,ANC,619335700.0,3.44,180089010.0,46090490.0,-0.0042,-0.17,0.064899996
231,MBOX,610742300.0,7.65,79853070.0,389533400.0,0.00090000004,-0.2159,0.1912
232,UFO,604955900.0,2.349e-05,25757575000000.0,28188352.0,-0.099,-0.36810002,-0.5376
233,YOOSHI,604507200.0,1.608e-06,375874730000000.0,10672272.0,-0.0148,-0.17899999,-0.0721
234,SUPER,545738200.0,1.36,401410900.0,62565384.0,0.0008,-0.2531,-0.2241
235,GTN,533215460.0,2.15,247499420.0,832587.0,0.0039,0.0031,0.2514
236,PYR,518947360.0,27.32,18997700.0,88468550.0,0.074200004,-0.2889,-0.22870001
237,ALT,510884580.0,8.51,60000000.0,4301244.0,-0.049000002,-0.205,-0.24780001
238,KOK,489298180.0,4.56,107333420.0,14915777.0,-0.0098,-0.0673,0.2906
239,RMRK,477514500.0,50.26,9500000.0,53889450.0,0.0962,-0.1891,0.48689997
240,TRIBE,452137150.0,0.9971,453448600.0,37633440.0,0.0025,-0.121400006,-0.0087
241,RPL,435074020.0,42.32,10279742.0,9653689.0,-0.0007,-0.1663,-0.081599995
242,KEEP,426815700.0,0.7157,596334700.0,118891660.0,0.0147,-0.1697,-0.1834
243,HDAO,418455170.0,0.1405,2979136300.0,9126760.0,-0.0537,-0.0344,0.0239
244,C98,413999140.0,2.24,185000000.0,92882670.0,0.002,-0.2846,-0.2616
245,YGG,417577200.0,6.05,69075040.0,139976210.0,0.0037,-0.2615,-0.1664
246,PLA,408199870.0,1.69,241594270.0,276476540.0,-0.00059999997,-0.2604,-0.2926
247,STARL,403849120.0,4.047e-05,9979172000000.0,69151530.0,-0.0056,-0.2521,-0.39259997
248,HEDG,396104960.0,1.14,348731460.0,2803985.0,-0.0558,-0.428,0.5702
249,BTRST,392279700.0,4.68,83765180.0,2419077.0,0.0616,-0.0467,-0.0382
250,XPRT,390737280.0,6.42,60822816.0,3638552.0,-0.0218,-0.15560001,-0.16129999
251,ORC,390277100.0,0.6818,572402200.0,17098520.0,-0.0113,-0.213,-0.001
252,BEST,357169860.0,0.9892,361063680.0,516927.0,0.003,-0.0705,-0.0727
253,DAO,357879200.0,5.67,63158944.0,14841802.0,0.019299999,-0.073699996,0.1547
254,FIDA,333324700.0,7.43,44832824.0,10028277.0,-0.0031,-0.1958,-0.0436
255,ANY,316491650.0,16.98,18639320.0,117232456.0,-0.0813,0.013200001,0.1758
256,MASK,315293250.0,10.82,29130724.0,210015680.0,0.0068,-0.2694,-0.42790002
257,WILD,307783700.0,4.18,73683300.0,30222114.0,-0.0212,-0.2834,-0.4085
258,LAT,304972800.0,0.135,2259691000.0,28947056.0,0.0026,-0.26389998,-0.338
259,MC,301415230.0,7.08,42592000.0,71295816.0,-0.006,-0.2852,-0.21149999
260,HTR,293869660.0,1.32,221806140.0,20208180.0,-0.012200001,-0.255,-0.1096
261,ATLAS,290690880.0,0.1346,2160000000.0,77023090.0,-0.006,-0.2035,-0.3092
262,JOE,290713700.0,2.22,131117570.0,36587856.0,-0.0019,-0.24180001,-0.24270001
263,TWT,289188450.0,0.8335,346951200.0,69373440.0,0.013200001,-0.22540002,-0.22670001
264,PUNDIX,273173860.0,1.06,258491630.0,40931496.0,0.0023999999,-0.24159999,-0.24440001
265,DAR,273711870.0,2.22,123200000.0,117024480.0,-0.0073,-0.2675,-0.3075
266,KAI,270840030.0,0.08921,3036000000.0,5800449.0,0.0023,-0.17819999,-0.28350002
267,MNGO,270487170.0,0.2705,1000000000.0,2618506.0,-0.00059999997,-0.1354,-0.0736
268,SFUND,265392620.0,12.37,21450140.0,10555742.0,-0.0062,-0.15010001,-0.1719
269,ARRR,263692600.0,1.4,188626290.0,1002152.0,-0.0045,-0.1767,-0.2233
270,XCH,258757120.0,105.01,2464133.0,35908040.0,0.0011999999,-0.16549999,-0.2228
271,FXS,257046140.0,15.86,16209405.0,13782224.0,-0.0028,-0.1035,-0.1058
272,CENNZ,254733820.0,0.2123,1200000000.0,4605716.0,0.015700001,-0.21059999,-0.1271
273,VXV,249835440.0,6.45,38721430.0,3005823.0,0.0496,-0.1685,-0.2215
274,EXRD,249976130.0,0.3402,734834600.0,11180980.0,0.011,-0.23120001,-0.1438
275,ALCX,249488620.0,284.94,875597.0,12887724.0,0.0073,-0.1506,-0.1146
276,BFC,246678620.0,0.2338,1055233340.0,61106628.0,0.0047999998,-0.33560002,-0.5084
277,KNC,246486750.0,1.39,177809340.0,73051280.0,0.0107,-0.26860002,-0.3486
278,TLM,245332770.0,0.2684,914030400.0,371339300.0,-0.0074,-0.29799998,-0.3109
279,DVF,243677340.0,10.09,24147148.0,1546702.0,-0.002,-0.0339,-0.36180001
280,ACH,243104430.0,0.06964,3490875100.0,109501220.0,0.0014,-0.16149999,-0.1719
281,RGT,241460080.0,21.45,11255482.0,8216450.0,-0.00029999999,-0.16379999,-0.1401
282,BETA,233475940.0,0.9126,255833330.0,54658844.0,-0.0057,-0.2587,-0.2672
283,SURE,230535550.0,0.008605,26790064000.0,1647916.0,-0.025799999,-0.1014,0.1014
284,TLOS,228109420.0,0.8445,270123460.0,4704022.0,1e-04,-0.15359999,-0.2365
285,RAD,224815570.0,10.57,21273976.0,45141956.0,0.0117999995,-0.18620001,-0.3362
286,HUM,225875100.0,0.3771,598909630.0,124433180.0,0.020399999,-0.19129999,-0.2023
287,NMR,219901950.0,37.34,5888504.0,27989820.0,0.0191,-0.1399,-0.072399996
288,AMPL,219871150.0,0.8818,249347740.0,14308549.0,-0.0002,-0.3177,-0.2198
289,XVS,218198400.0,18.83,11584913.0,47604890.0,-0.028099999,-0.18020001,-0.1488
290,SAPP,217469740.0,0.4045,537572900.0,582442.0,-0.0034999999,-0.17639999,-0.122600004
